date,sku,event,qty,receipt_date,note
2025-01-01,SKU029,SNAPSHOT,50,,Initial inventory snapshot
2025-01-01,SKU030,SNAPSHOT,47,,Initial inventory snapshot
2025-01-01,SKU031,SNAPSHOT,57,,Initial inventory snapshot
2025-01-01,SKU032,SNAPSHOT,76,,Initial inventory snapshot
2025-01-01,SKU033,SNAPSHOT,23,,Initial inventory snapshot
2025-01-01,SKU034,SNAPSHOT,53,,Initial inventory snapshot
2025-01-01,SKU035,SNAPSHOT,83,,Initial inventory snapshot
2025-01-01,SKU036,SNAPSHOT,59,,Initial inventory snapshot
2025-01-01,SKU037,SNAPSHOT,81,,Initial inventory snapshot
2025-01-01,SKU038,SNAPSHOT,69,,Initial inventory snapshot
2025-01-01,SKU039,SNAPSHOT,58,,Initial inventory snapshot
2025-01-01,SKU040,SNAPSHOT,89,,Initial inventory snapshot
2025-01-01,SKU041,SNAPSHOT,56,,Initial inventory snapshot
2025-01-01,SKU042,SNAPSHOT,61,,Initial inventory snapshot
2025-01-01,SKU043,SNAPSHOT,67,,Initial inventory snapshot
2025-01-01,SKU044,SNAPSHOT,96,,Initial inventory snapshot
2025-01-01,SKU045,SNAPSHOT,48,,Initial inventory snapshot
2025-01-01,SKU046,SNAPSHOT,96,,Initial inventory snapshot
2025-01-01,SKU047,SNAPSHOT,75,,Initial inventory snapshot
2025-01-01,SKU048,SNAPSHOT,61,,Initial inventory snapshot
2025-01-01,SKU049,SNAPSHOT,41,,Initial inventory snapshot
2025-01-01,SKU050,SNAPSHOT,32,,Initial inventory snapshot
2025-01-01,SKU001,ORDER,34,2025-01-02,Order week 1
2025-01-01,SKU002,ORDER,54,2025-01-05,Order week 1
2025-01-01,SKU003,ORDER,34,2025-01-04,Order week 1
2025-01-01,SKU004,ORDER,40,2025-01-02,Order week 1
2025-01-01,SKU005,ORDER,20,2025-01-02,Order week 1
2025-01-01,SKU006,ORDER,51,2025-01-04,Order week 1
2025-01-01,SKU007,ORDER,25,2025-01-09,Order week 1
2025-01-01,SKU008,ORDER,28,2025-01-02,Order week 1
2025-01-01,SKU009,ORDER,38,2025-01-05,Order week 1
2025-01-01,SKU010,ORDER,41,2025-01-06,Order week 1
2025-01-02,SKU001,RECEIPT,34,2025-01-02,Receipt for order on 2025-01-01
2025-01-02,SKU004,RECEIPT,40,2025-01-02,Receipt for order on 2025-01-01
2025-01-02,SKU005,RECEIPT,20,2025-01-02,Receipt for order on 2025-01-01
2025-01-02,SKU008,RECEIPT,28,2025-01-02,Receipt for order on 2025-01-01
2025-01-04,SKU003,RECEIPT,34,2025-01-04,Receipt for order on 2025-01-01
2025-01-04,SKU006,RECEIPT,51,2025-01-04,Receipt for order on 2025-01-01
2025-01-05,SKU002,RECEIPT,54,2025-01-05,Receipt for order on 2025-01-01
2025-01-05,SKU009,RECEIPT,38,2025-01-05,Receipt for order on 2025-01-01
2025-01-06,SKU010,RECEIPT,41,2025-01-06,Receipt for order on 2025-01-01
2025-01-08,SKU001,ORDER,42,2025-01-09,Order week 2
2025-01-08,SKU002,ORDER,33,2025-01-12,Order week 2
2025-01-08,SKU003,ORDER,26,2025-01-11,Order week 2
2025-01-08,SKU004,ORDER,30,2025-01-09,Order week 2
2025-01-08,SKU005,ORDER,58,2025-01-09,Order week 2
2025-01-08,SKU006,ORDER,23,2025-01-11,Order week 2
2025-01-08,SKU007,ORDER,20,2025-01-16,Order week 2
2025-01-08,SKU008,ORDER,35,2025-01-09,Order week 2
2025-01-08,SKU009,ORDER,45,2025-01-12,Order week 2
2025-01-08,SKU010,ORDER,28,2025-01-13,Order week 2
2025-01-09,SKU007,RECEIPT,25,2025-01-09,Receipt for order on 2025-01-01
2025-01-09,SKU001,RECEIPT,42,2025-01-09,Receipt for order on 2025-01-08
2025-01-09,SKU004,RECEIPT,30,2025-01-09,Receipt for order on 2025-01-08
2025-01-09,SKU005,RECEIPT,58,2025-01-09,Receipt for order on 2025-01-08
2025-01-09,SKU008,RECEIPT,35,2025-01-09,Receipt for order on 2025-01-08
2025-01-11,SKU003,RECEIPT,26,2025-01-11,Receipt for order on 2025-01-08
2025-01-11,SKU006,RECEIPT,23,2025-01-11,Receipt for order on 2025-01-08
2025-01-12,SKU002,RECEIPT,33,2025-01-12,Receipt for order on 2025-01-08
2025-01-12,SKU009,RECEIPT,45,2025-01-12,Receipt for order on 2025-01-08
2025-01-13,SKU010,RECEIPT,28,2025-01-13,Receipt for order on 2025-01-08
2025-01-15,SKU001,ORDER,31,2025-01-16,Order week 3
2025-01-15,SKU002,ORDER,25,2025-01-19,Order week 3
2025-01-15,SKU003,ORDER,24,2025-01-18,Order week 3
2025-01-15,SKU004,ORDER,50,2025-01-16,Order week 3
2025-01-15,SKU005,ORDER,35,2025-01-16,Order week 3
2025-01-15,SKU006,ORDER,60,2025-01-18,Order week 3
2025-01-15,SKU007,ORDER,29,2025-01-23,Order week 3
2025-01-15,SKU008,ORDER,60,2025-01-16,Order week 3
2025-01-15,SKU009,ORDER,49,2025-01-19,Order week 3
2025-01-15,SKU010,ORDER,51,2025-01-20,Order week 3
2025-01-16,SKU007,RECEIPT,20,2025-01-16,Receipt for order on 2025-01-08
2025-01-16,SKU001,RECEIPT,31,2025-01-16,Receipt for order on 2025-01-15
2025-01-16,SKU004,RECEIPT,50,2025-01-16,Receipt for order on 2025-01-15
2025-01-16,SKU005,RECEIPT,35,2025-01-16,Receipt for order on 2025-01-15
2025-01-16,SKU008,RECEIPT,60,2025-01-16,Receipt for order on 2025-01-15
2025-01-16,SKU012,WASTE,9,,Expired product
2025-01-16,SKU028,WASTE,9,,Expired product
2025-01-16,SKU003,WASTE,3,,Expired product
2025-01-16,SKU033,WASTE,9,,Expired product
2025-01-16,SKU031,WASTE,2,,Expired product
2025-01-18,SKU003,RECEIPT,24,2025-01-18,Receipt for order on 2025-01-15
2025-01-18,SKU006,RECEIPT,60,2025-01-18,Receipt for order on 2025-01-15
2025-01-19,SKU002,RECEIPT,25,2025-01-19,Receipt for order on 2025-01-15
2025-01-19,SKU009,RECEIPT,49,2025-01-19,Receipt for order on 2025-01-15
2025-01-20,SKU010,RECEIPT,51,2025-01-20,Receipt for order on 2025-01-15
2025-01-22,SKU001,ORDER,30,2025-01-23,Order week 4
2025-01-22,SKU002,ORDER,47,2025-01-26,Order week 4
2025-01-22,SKU003,ORDER,37,2025-01-25,Order week 4
2025-01-22,SKU004,ORDER,54,2025-01-23,Order week 4
2025-01-22,SKU005,ORDER,54,2025-01-23,Order week 4
2025-01-22,SKU006,ORDER,35,2025-01-25,Order week 4
2025-01-22,SKU007,ORDER,59,2025-01-30,Order week 4
2025-01-22,SKU008,ORDER,42,2025-01-23,Order week 4
2025-01-22,SKU009,ORDER,55,2025-01-26,Order week 4
2025-01-22,SKU010,ORDER,40,2025-01-27,Order week 4
2025-01-23,SKU007,RECEIPT,29,2025-01-23,Receipt for order on 2025-01-15
2025-01-23,SKU001,RECEIPT,30,2025-01-23,Receipt for order on 2025-01-22
2025-01-23,SKU004,RECEIPT,54,2025-01-23,Receipt for order on 2025-01-22
2025-01-23,SKU005,RECEIPT,54,2025-01-23,Receipt for order on 2025-01-22
2025-01-23,SKU008,RECEIPT,42,2025-01-23,Receipt for order on 2025-01-22
2025-01-25,SKU003,RECEIPT,37,2025-01-25,Receipt for order on 2025-01-22
2025-01-25,SKU006,RECEIPT,35,2025-01-25,Receipt for order on 2025-01-22
2025-01-26,SKU002,RECEIPT,47,2025-01-26,Receipt for order on 2025-01-22
2025-01-26,SKU009,RECEIPT,55,2025-01-26,Receipt for order on 2025-01-22
2025-01-27,SKU010,RECEIPT,40,2025-01-27,Receipt for order on 2025-01-22
2025-01-29,SKU001,ORDER,40,2025-01-30,Order week 5
2025-01-29,SKU002,ORDER,55,2025-02-02,Order week 5
2025-01-29,SKU003,ORDER,40,2025-02-01,Order week 5
2025-01-29,SKU004,ORDER,30,2025-01-30,Order week 5
2025-01-29,SKU005,ORDER,31,2025-01-30,Order week 5
2025-01-29,SKU006,ORDER,57,2025-02-01,Order week 5
2025-01-29,SKU007,ORDER,39,2025-02-06,Order week 5
2025-01-29,SKU008,ORDER,30,2025-01-30,Order week 5
2025-01-29,SKU009,ORDER,42,2025-02-02,Order week 5
2025-01-29,SKU010,ORDER,28,2025-02-03,Order week 5
2025-01-30,SKU007,RECEIPT,59,2025-01-30,Receipt for order on 2025-01-22
2025-01-30,SKU001,RECEIPT,40,2025-01-30,Receipt for order on 2025-01-29
2025-01-30,SKU004,RECEIPT,30,2025-01-30,Receipt for order on 2025-01-29
2025-01-30,SKU005,RECEIPT,31,2025-01-30,Receipt for order on 2025-01-29
2025-01-30,SKU008,RECEIPT,30,2025-01-30,Receipt for order on 2025-01-29
2025-01-31,SKU021,ADJUST,45,,Physical count adjustment
2025-01-31,SKU047,ADJUST,47,,Physical count adjustment
2025-01-31,SKU015,ADJUST,18,,Physical count adjustment
2025-02-01,SKU003,RECEIPT,40,2025-02-01,Receipt for order on 2025-01-29
2025-02-01,SKU006,RECEIPT,57,2025-02-01,Receipt for order on 2025-01-29
2025-02-02,SKU002,RECEIPT,55,2025-02-02,Receipt for order on 2025-01-29
2025-02-02,SKU009,RECEIPT,42,2025-02-02,Receipt for order on 2025-01-29
2025-02-03,SKU010,RECEIPT,28,2025-02-03,Receipt for order on 2025-01-29
2025-02-05,SKU001,ORDER,40,2025-02-06,Order week 6
2025-02-05,SKU002,ORDER,26,2025-02-09,Order week 6
2025-02-05,SKU003,ORDER,45,2025-02-08,Order week 6
2025-02-05,SKU004,ORDER,27,2025-02-06,Order week 6
2025-02-05,SKU005,ORDER,52,2025-02-06,Order week 6
2025-02-05,SKU006,ORDER,40,2025-02-08,Order week 6
2025-02-05,SKU007,ORDER,51,2025-02-13,Order week 6
2025-02-05,SKU008,ORDER,43,2025-02-06,Order week 6
2025-02-05,SKU009,ORDER,59,2025-02-09,Order week 6
2025-02-05,SKU010,ORDER,25,2025-02-10,Order week 6
2025-02-06,SKU007,RECEIPT,39,2025-02-06,Receipt for order on 2025-01-29
2025-02-06,SKU001,RECEIPT,40,2025-02-06,Receipt for order on 2025-02-05
2025-02-06,SKU004,RECEIPT,27,2025-02-06,Receipt for order on 2025-02-05
2025-02-06,SKU005,RECEIPT,52,2025-02-06,Receipt for order on 2025-02-05
2025-02-06,SKU008,RECEIPT,43,2025-02-06,Receipt for order on 2025-02-05
2025-02-08,SKU003,RECEIPT,45,2025-02-08,Receipt for order on 2025-02-05
2025-02-08,SKU006,RECEIPT,40,2025-02-08,Receipt for order on 2025-02-05
2025-02-09,SKU002,RECEIPT,26,2025-02-09,Receipt for order on 2025-02-05
2025-02-09,SKU009,RECEIPT,59,2025-02-09,Receipt for order on 2025-02-05
2025-02-10,SKU010,RECEIPT,25,2025-02-10,Receipt for order on 2025-02-05
2025-02-12,SKU001,ORDER,48,2025-02-13,Order week 7
2025-02-12,SKU002,ORDER,24,2025-02-16,Order week 7
2025-02-12,SKU003,ORDER,23,2025-02-15,Order week 7
2025-02-12,SKU004,ORDER,41,2025-02-13,Order week 7
2025-02-12,SKU005,ORDER,23,2025-02-13,Order week 7
2025-02-12,SKU006,ORDER,53,2025-02-15,Order week 7
2025-02-12,SKU007,ORDER,60,2025-02-20,Order week 7
2025-02-12,SKU008,ORDER,23,2025-02-13,Order week 7
2025-02-12,SKU009,ORDER,43,2025-02-16,Order week 7
2025-02-12,SKU010,ORDER,39,2025-02-17,Order week 7
2025-02-13,SKU007,RECEIPT,51,2025-02-13,Receipt for order on 2025-02-05
2025-02-13,SKU001,RECEIPT,48,2025-02-13,Receipt for order on 2025-02-12
2025-02-13,SKU004,RECEIPT,41,2025-02-13,Receipt for order on 2025-02-12
2025-02-13,SKU005,RECEIPT,23,2025-02-13,Receipt for order on 2025-02-12
2025-02-13,SKU008,RECEIPT,23,2025-02-13,Receipt for order on 2025-02-12
2025-02-15,SKU003,RECEIPT,23,2025-02-15,Receipt for order on 2025-02-12
2025-02-15,SKU006,RECEIPT,53,2025-02-15,Receipt for order on 2025-02-12
2025-02-15,SKU023,WASTE,1,,Expired product
2025-02-15,SKU012,WASTE,5,,Expired product
2025-02-15,SKU031,WASTE,9,,Expired product
2025-02-15,SKU035,WASTE,7,,Expired product
2025-02-15,SKU013,WASTE,3,,Expired product
2025-02-16,SKU002,RECEIPT,24,2025-02-16,Receipt for order on 2025-02-12
2025-02-16,SKU009,RECEIPT,43,2025-02-16,Receipt for order on 2025-02-12
2025-02-17,SKU010,RECEIPT,39,2025-02-17,Receipt for order on 2025-02-12
2025-02-19,SKU001,ORDER,58,2025-02-20,Order week 8
2025-02-19,SKU002,ORDER,25,2025-02-23,Order week 8
2025-02-19,SKU003,ORDER,36,2025-02-22,Order week 8
2025-02-19,SKU004,ORDER,48,2025-02-20,Order week 8
2025-02-19,SKU005,ORDER,49,2025-02-20,Order week 8
2025-02-19,SKU006,ORDER,39,2025-02-22,Order week 8
2025-02-19,SKU007,ORDER,37,2025-02-27,Order week 8
2025-02-19,SKU008,ORDER,50,2025-02-20,Order week 8
2025-02-19,SKU009,ORDER,34,2025-02-23,Order week 8
2025-02-19,SKU010,ORDER,43,2025-02-24,Order week 8
2025-02-20,SKU007,RECEIPT,60,2025-02-20,Receipt for order on 2025-02-12
2025-02-20,SKU001,RECEIPT,58,2025-02-20,Receipt for order on 2025-02-19
2025-02-20,SKU004,RECEIPT,48,2025-02-20,Receipt for order on 2025-02-19
2025-02-20,SKU005,RECEIPT,49,2025-02-20,Receipt for order on 2025-02-19
2025-02-20,SKU008,RECEIPT,50,2025-02-20,Receipt for order on 2025-02-19
2025-02-22,SKU003,RECEIPT,36,2025-02-22,Receipt for order on 2025-02-19
2025-02-22,SKU006,RECEIPT,39,2025-02-22,Receipt for order on 2025-02-19
2025-02-23,SKU002,RECEIPT,25,2025-02-23,Receipt for order on 2025-02-19
2025-02-23,SKU009,RECEIPT,34,2025-02-23,Receipt for order on 2025-02-19
2025-02-24,SKU010,RECEIPT,43,2025-02-24,Receipt for order on 2025-02-19
2025-02-26,SKU001,ORDER,60,2025-02-27,Order week 9
2025-02-26,SKU002,ORDER,33,2025-03-02,Order week 9
2025-02-26,SKU003,ORDER,42,2025-03-01,Order week 9
2025-02-26,SKU004,ORDER,29,2025-02-27,Order week 9
2025-02-26,SKU005,ORDER,39,2025-02-27,Order week 9
2025-02-26,SKU006,ORDER,48,2025-03-01,Order week 9
2025-02-26,SKU007,ORDER,53,2025-03-06,Order week 9
2025-02-26,SKU008,ORDER,38,2025-02-27,Order week 9
2025-02-26,SKU009,ORDER,27,2025-03-02,Order week 9
2025-02-26,SKU010,ORDER,49,2025-03-03,Order week 9
2025-02-27,SKU007,RECEIPT,37,2025-02-27,Receipt for order on 2025-02-19
2025-02-27,SKU001,RECEIPT,60,2025-02-27,Receipt for order on 2025-02-26
2025-02-27,SKU004,RECEIPT,29,2025-02-27,Receipt for order on 2025-02-26
2025-02-27,SKU005,RECEIPT,39,2025-02-27,Receipt for order on 2025-02-26
2025-02-27,SKU008,RECEIPT,38,2025-02-27,Receipt for order on 2025-02-26
2025-03-01,SKU003,RECEIPT,42,2025-03-01,Receipt for order on 2025-02-26
2025-03-01,SKU006,RECEIPT,48,2025-03-01,Receipt for order on 2025-02-26
2025-03-02,SKU002,RECEIPT,33,2025-03-02,Receipt for order on 2025-02-26
2025-03-02,SKU009,RECEIPT,27,2025-03-02,Receipt for order on 2025-02-26
2025-03-03,SKU010,RECEIPT,49,2025-03-03,Receipt for order on 2025-02-26
2025-03-05,SKU001,ORDER,27,2025-03-06,Order week 10
2025-03-05,SKU002,ORDER,42,2025-03-09,Order week 10
2025-03-05,SKU003,ORDER,57,2025-03-08,Order week 10
2025-03-05,SKU004,ORDER,39,2025-03-06,Order week 10
2025-03-05,SKU005,ORDER,56,2025-03-06,Order week 10
2025-03-05,SKU006,ORDER,49,2025-03-08,Order week 10
2025-03-05,SKU007,ORDER,32,2025-03-13,Order week 10
2025-03-05,SKU008,ORDER,36,2025-03-06,Order week 10
2025-03-05,SKU009,ORDER,38,2025-03-09,Order week 10
2025-03-05,SKU010,ORDER,58,2025-03-10,Order week 10
2025-03-06,SKU007,RECEIPT,53,2025-03-06,Receipt for order on 2025-02-26
2025-03-06,SKU001,RECEIPT,27,2025-03-06,Receipt for order on 2025-03-05
2025-03-06,SKU004,RECEIPT,39,2025-03-06,Receipt for order on 2025-03-05
2025-03-06,SKU005,RECEIPT,56,2025-03-06,Receipt for order on 2025-03-05
2025-03-06,SKU008,RECEIPT,36,2025-03-06,Receipt for order on 2025-03-05
2025-03-08,SKU003,RECEIPT,57,2025-03-08,Receipt for order on 2025-03-05
2025-03-08,SKU006,RECEIPT,49,2025-03-08,Receipt for order on 2025-03-05
2025-03-09,SKU002,RECEIPT,42,2025-03-09,Receipt for order on 2025-03-05
2025-03-09,SKU009,RECEIPT,38,2025-03-09,Receipt for order on 2025-03-05
2025-03-10,SKU010,RECEIPT,58,2025-03-10,Receipt for order on 2025-03-05
2025-03-12,SKU001,ORDER,33,2025-03-13,Order week 11
2025-03-12,SKU002,ORDER,22,2025-03-16,Order week 11
2025-03-12,SKU003,ORDER,41,2025-03-15,Order week 11
2025-03-12,SKU004,ORDER,34,2025-03-13,Order week 11
2025-03-12,SKU005,ORDER,51,2025-03-13,Order week 11
2025-03-12,SKU006,ORDER,52,2025-03-15,Order week 11
2025-03-12,SKU007,ORDER,54,2025-03-20,Order week 11
2025-03-12,SKU008,ORDER,21,2025-03-13,Order week 11
2025-03-12,SKU009,ORDER,34,2025-03-16,Order week 11
2025-03-12,SKU010,ORDER,32,2025-03-17,Order week 11
2025-03-13,SKU007,RECEIPT,32,2025-03-13,Receipt for order on 2025-03-05
2025-03-13,SKU001,RECEIPT,33,2025-03-13,Receipt for order on 2025-03-12
2025-03-13,SKU004,RECEIPT,34,2025-03-13,Receipt for order on 2025-03-12
2025-03-13,SKU005,RECEIPT,51,2025-03-13,Receipt for order on 2025-03-12
2025-03-13,SKU008,RECEIPT,21,2025-03-13,Receipt for order on 2025-03-12
2025-03-15,SKU003,RECEIPT,41,2025-03-15,Receipt for order on 2025-03-12
2025-03-15,SKU006,RECEIPT,52,2025-03-15,Receipt for order on 2025-03-12
2025-03-16,SKU002,RECEIPT,22,2025-03-16,Receipt for order on 2025-03-12
2025-03-16,SKU009,RECEIPT,34,2025-03-16,Receipt for order on 2025-03-12
2025-03-17,SKU010,RECEIPT,32,2025-03-17,Receipt for order on 2025-03-12
2025-03-17,SKU021,WASTE,8,,Expired product
2025-03-17,SKU044,WASTE,5,,Expired product
2025-03-17,SKU005,WASTE,7,,Expired product
2025-03-17,SKU012,WASTE,6,,Expired product
2025-03-17,SKU008,WASTE,4,,Expired product
2025-03-19,SKU001,ORDER,27,2025-03-20,Order week 12
2025-03-19,SKU002,ORDER,53,2025-03-23,Order week 12
2025-03-19,SKU003,ORDER,33,2025-03-22,Order week 12
2025-03-19,SKU004,ORDER,46,2025-03-20,Order week 12
2025-03-19,SKU005,ORDER,25,2025-03-20,Order week 12
2025-03-19,SKU006,ORDER,24,2025-03-22,Order week 12
2025-03-19,SKU007,ORDER,32,2025-03-27,Order week 12
2025-03-19,SKU008,ORDER,35,2025-03-20,Order week 12
2025-03-19,SKU009,ORDER,53,2025-03-23,Order week 12
2025-03-19,SKU010,ORDER,58,2025-03-24,Order week 12
2025-03-20,SKU007,RECEIPT,54,2025-03-20,Receipt for order on 2025-03-12
2025-03-20,SKU001,RECEIPT,27,2025-03-20,Receipt for order on 2025-03-19
2025-03-20,SKU004,RECEIPT,46,2025-03-20,Receipt for order on 2025-03-19
2025-03-20,SKU005,RECEIPT,25,2025-03-20,Receipt for order on 2025-03-19
2025-03-20,SKU008,RECEIPT,35,2025-03-20,Receipt for order on 2025-03-19
2025-03-22,SKU003,RECEIPT,33,2025-03-22,Receipt for order on 2025-03-19
2025-03-22,SKU006,RECEIPT,24,2025-03-22,Receipt for order on 2025-03-19
2025-03-23,SKU002,RECEIPT,53,2025-03-23,Receipt for order on 2025-03-19
2025-03-23,SKU009,RECEIPT,53,2025-03-23,Receipt for order on 2025-03-19
2025-03-24,SKU010,RECEIPT,58,2025-03-24,Receipt for order on 2025-03-19
2025-03-27,SKU007,RECEIPT,32,2025-03-27,Receipt for order on 2025-03-19
2025-04-01,SKU007,ADJUST,21,,Physical count adjustment
2025-04-01,SKU033,ADJUST,37,,Physical count adjustment
2025-04-01,SKU037,ADJUST,42,,Physical count adjustment
